model_name,model_type,regime_type,target_col,mse,mae,rmse,rmse_norm,mae_norm,r2,n_obs,model_full_name
gru_baseline_DXY_r10d,gru,baseline,DXY_r10d,3.6196892599817366e-05,0.004810357404542328,0.006016385343361691,0.44600858202953964,0.3566029372474389,0.8010763447559994,378,gru_baseline
lstm_regime_BTC_r10d,lstm,regime,BTC_r10d,0.0017562789675569855,0.032712320311417985,0.041907982146089845,0.4478466189223088,0.34957784408474596,0.7994334059198562,378,lstm_regime
lstm_baseline_SPX_r10d,lstm,baseline,SPX_r10d,0.00017914564430169874,0.008926396982433863,0.013384530036639267,0.45345027936844096,0.3024145931428294,0.7943828441406828,378,lstm_baseline
lstm_baseline_BTC_r10d,lstm,baseline,BTC_r10d,0.001832616468358593,0.032063794655291,0.04280906993101571,0.45747602833707096,0.34264742158508044,0.7907156834969395,378,lstm_baseline
transformer_regime_GOLD_r15d,transformer,regime,GOLD_r15d,0.00024015094643950558,0.012061686465833332,0.015496804394439054,0.46373474835509787,0.36094042330291526,0.784950083168034,378,transformer_regime
gru_regime_SPX_r15d,gru,regime,SPX_r15d,0.0002733809228906047,0.01167920499293651,0.016534234874665495,0.46533571012763236,0.3286968638289802,0.7834626768800121,378,gru_regime
lstm_regime_GOLD_r10d,lstm,regime,GOLD_r10d,0.00018317010463099904,0.010511951603677249,0.013534035046171523,0.4671139353214041,0.36280969162192567,0.7818045714285511,378,lstm_regime
transformer_baseline_BTC_r10d,transformer,baseline,BTC_r10d,0.0019304771589982134,0.03350956460357143,0.04393719562054699,0.46953166189190965,0.35809753752766543,0.7795400184810215,378,transformer_baseline
gru_regime_SPX_r10d,gru,regime,SPX_r10d,0.00019686249469239958,0.010222074153888889,0.014030769568787009,0.4753440250277322,0.34631043212703594,0.7740480578704347,378,gru_regime
lstm_baseline_GOLD_r10d,lstm,baseline,GOLD_r10d,0.00019082163761649073,0.010669880843174604,0.013813820529328254,0.476770456649839,0.368260464308139,0.7726899316659039,378,lstm_baseline
lstm_regime_SPX_r10d,lstm,regime,SPX_r10d,0.00020606116447124037,0.010227298096658732,0.014354830701587546,0.4863227901243477,0.34648741243952397,0.7634901438056696,378,lstm_regime
gru_baseline_GOLD_r10d,gru,baseline,GOLD_r10d,0.00020304186170774476,0.010856572975492062,0.014249275830993825,0.49179976896679756,0.3747039600078949,0.7581329872442045,378,gru_baseline
transformer_baseline_SPX_r15d,transformer,baseline,SPX_r15d,0.00030752306409005523,0.01336114392182275,0.017536335537678766,0.49353860110973385,0.37603296687804394,0.756419649214647,378,transformer_baseline
gru_baseline_SPX_r10d,gru,baseline,SPX_r10d,0.000226019010378443,0.010736947881243387,0.015033928640859081,0.5093297354140406,0.36375367704256606,0.7405832206230634,378,gru_baseline
transformer_baseline_ETH_r10d,transformer,baseline,ETH_r10d,0.0050248294118962885,0.05708658487521164,0.07088603114786642,0.5151413749150101,0.4148583486142048,0.7346293638506729,378,transformer_baseline
transformer_regime_DXY_r15d,transformer,regime,DXY_r15d,7.746341699651287e-05,0.006469137470833333,0.008801330410597757,0.5273495513070744,0.38761148410925783,0.7219024507362274,378,transformer_regime
gru_regime_ETH_r5d,gru,regime,ETH_r5d,0.002773900749874445,0.03890681863423281,0.052667834110341434,0.5325509180277038,0.39340638040647413,0.7163895197078498,378,gru_regime
gru_baseline_ETH_r5d,gru,baseline,ETH_r5d,0.0028356736258323026,0.03934849919641799,0.053251043424822224,0.5384480402670265,0.39787243436217545,0.7100737079325985,378,gru_baseline
lstm_regime_DXY_r10d,lstm,regime,DXY_r10d,5.3122503124273916e-05,0.005831431313285714,0.0072885185822822674,0.5403147658363407,0.43229751134723143,0.7080599538192203,378,lstm_regime
transformer_regime_BTC_r10d,transformer,regime,BTC_r10d,0.0025589406348549624,0.040076427593915345,0.050585972708399735,0.5405833371642489,0.42827384372392946,0.7077696555803641,378,transformer_regime
lstm_regime_ETH_r5d,lstm,regime,ETH_r5d,0.00303206185025401,0.04055492645156085,0.05506416121447788,0.5567813847017066,0.41007122615061203,0.6899944896496502,378,lstm_regime
gru_baseline_BTC_r5d,gru,baseline,BTC_r5d,0.00149920847339218,0.0297619956909619,0.038719613549106864,0.5643466852368793,0.4337874806763422,0.6815128188621468,378,gru_baseline
lstm_baseline_BTC_r5d,lstm,baseline,BTC_r5d,0.0015294488962684571,0.03006460945102804,0.03910816917561415,0.5700099669628557,0.43819814123688217,0.6750886375630041,378,lstm_baseline
transformer_baseline_SPX_r10d,transformer,baseline,SPX_r10d,0.0002865560957348899,0.012164987935105821,0.0169279678560331,0.5734972936999415,0.4121337964491221,0.671100854118843,378,transformer_baseline
lstm_regime_SPX_r5d,lstm,regime,SPX_r5d,0.0001644765130503597,0.008998289178457672,0.012824839689070569,0.5749315611381066,0.4033890926021955,0.6694537000072995,378,lstm_regime
lstm_baseline_ETH_r5d,lstm,baseline,ETH_r5d,0.0032484863109739715,0.04289844127989417,0.05699549377778888,0.57631005807478,0.43376768138409943,0.6678667169618437,378,lstm_baseline
lstm_baseline_DXY_r5d,lstm,baseline,DXY_r5d,2.7435369518744434e-05,0.004073556461777778,0.005237878341346278,0.5786850731501209,0.45004984183331165,0.6651235861132394,378,lstm_baseline
transformer_regime_GOLD_r10d,transformer,regime,GOLD_r10d,0.00028166566143110624,0.013254088284809524,0.01678289788538041,0.5792452473037553,0.45745184763401653,0.6644749434760113,378,transformer_regime
lstm_regime_DXY_r5d,lstm,regime,DXY_r5d,2.7672568418614588e-05,0.004126783925047619,0.005260472261937571,0.5811812679332092,0.4559304554078504,0.6622283338035473,378,lstm_regime
gru_regime_BTC_r5d,gru,regime,BTC_r5d,0.0016318242346638255,0.030969513947628573,0.0403958442746754,0.5887781081504128,0.45138731866668214,0.6533403393628209,378,gru_regime
gru_regime_DXY_r5d,gru,regime,DXY_r5d,2.844658661946454e-05,0.004112303278582011,0.005333534158460461,0.5892532058780238,0.45433062177042804,0.6527806593624714,378,gru_regime
gru_baseline_DXY_r5d,gru,baseline,DXY_r5d,2.866858607674413e-05,0.004200683688306878,0.005354305377613807,0.5915480271189619,0.4640949615533804,0.650070931611664,378,gru_baseline
transformer_regime_SPX_r10d,transformer,regime,SPX_r10d,0.0003115179361820751,0.013211380289433862,0.017649870712899716,0.5979544133169136,0.4475841935941974,0.6424505195948257,378,transformer_regime
gru_baseline_GOLD_r5d,gru,baseline,GOLD_r5d,0.00017691719532275972,0.010617155773478836,0.013301022341262334,0.5991778506055583,0.47827636197276685,0.6409859033437033,378,gru_baseline
lstm_baseline_SPX_r5d,lstm,baseline,SPX_r5d,0.00017893006424652043,0.009177952597930158,0.013376474283103169,0.5996610818193848,0.41144331961329456,0.640406586951205,378,lstm_baseline
transformer_baseline_DXY_r10d,transformer,baseline,DXY_r10d,6.624611211674703e-05,0.0061516593373148135,0.008139171463776091,0.6033756344180083,0.45603675655381193,0.635937843790666,378,transformer_baseline
gru_regime_GOLD_r5d,gru,regime,GOLD_r5d,0.00018997635294355187,0.010822321594743388,0.013783190956507563,0.6208983429932642,0.4875185700263285,0.6144852476682189,378,gru_regime
gru_baseline_SPX_r5d,gru,baseline,SPX_r5d,0.00019220396888599355,0.009597068901531747,0.01386376460006421,0.6215060786731582,0.43023210735412265,0.6137301941723141,378,gru_baseline
lstm_baseline_GOLD_r5d,lstm,baseline,GOLD_r5d,0.0001921412811510525,0.010661610898777776,0.013861503567472488,0.6244261306105895,0.4802789543857115,0.610092007410687,378,lstm_baseline
transformer_regime_SPX_r15d,transformer,regime,SPX_r15d,0.0004938680384240253,0.016994205262116403,0.022223141956618675,0.6254430048949904,0.47828101110494664,0.608821047627925,378,transformer_regime
lstm_regime_GOLD_r5d,lstm,regime,GOLD_r5d,0.0001952292131972096,0.01102667859277778,0.013972444782399736,0.6294237553794364,0.49672434261259046,0.6038257361640474,378,lstm_regime
lstm_regime_BTC_r5d,lstm,regime,BTC_r5d,0.001893729446078688,0.033454263360538625,0.0435170018047968,0.6342696496399007,0.4876030751344379,0.5977020115456776,378,lstm_regime
transformer_baseline_SPX_r5d,transformer,baseline,SPX_r5d,0.0002031563688318913,0.010016153977100529,0.014253293262677621,0.6389684663157282,0.4490194951568549,0.591719299054126,378,transformer_baseline
transformer_baseline_ETH_r5d,transformer,baseline,ETH_r5d,0.004028709361442982,0.04944612408238889,0.06347211483354705,0.6417984258275812,0.49997459014205986,0.5880947806052388,378,transformer_baseline
gru_regime_SPX_r5d,gru,regime,SPX_r5d,0.00020507785811072586,0.011030421210619047,0.014320539728331675,0.6419830938991399,0.4944886205506781,0.587857707147688,378,gru_regime
gru_regime_GOLD_r15d,gru,regime,GOLD_r15d,0.000489820193141791,0.01872538347616402,0.02213188182558797,0.662286390650755,0.5603484933505192,0.5613767367587955,378,gru_regime
transformer_regime_SPX_r5d,transformer,regime,SPX_r5d,0.00021964637807566143,0.010742466993185186,0.014820471587492128,0.6643948051733746,0.4815797677478912,0.5585795428586335,378,transformer_regime
transformer_baseline_GOLD_r15d,transformer,baseline,GOLD_r15d,0.0004954899405361277,0.01787673655723545,0.02225960333285676,0.6661083980482337,0.5349531243844573,0.5562996020496158,378,transformer_baseline
transformer_baseline_GOLD_r5d,transformer,baseline,GOLD_r5d,0.00022089893132609944,0.011770644812275133,0.014862669051220223,0.6695261362538784,0.5302381634967723,0.5517347528729531,378,transformer_baseline
gru_regime_GOLD_r10d,gru,regime,GOLD_r10d,0.000379851434509612,0.015785729211031743,0.019489777692667815,0.6726705469213841,0.5448289492769524,0.547514335304486,378,gru_regime
transformer_baseline_GOLD_r10d,transformer,baseline,GOLD_r10d,0.00040628979018850274,0.016141837270846563,0.020156631419671858,0.6956863487603722,0.557119669424513,0.5160205041484618,378,transformer_baseline
transformer_regime_ETH_r5d,transformer,regime,ETH_r5d,0.004740007887501636,0.05362763342857143,0.06884771519449019,0.6961538204536954,0.5422559309009289,0.515369858267724,378,transformer_regime
transformer_regime_BTC_r5d,transformer,regime,BTC_r5d,0.0023166271496684286,0.03721816118733757,0.04813135308370656,0.7015248107862946,0.5424626945216586,0.5078629398512537,378,transformer_regime
transformer_baseline_BTC_r5d,transformer,baseline,BTC_r5d,0.003042205862981594,0.04519133518543281,0.0551561951459815,0.8039133929225674,0.6586734183434545,0.3537232566797258,378,transformer_baseline
transformer_baseline_DXY_r5d,transformer,baseline,DXY_r5d,7.3427409517456e-05,0.006814451208707566,0.008568979491016185,0.9467078462738893,0.752866129986383,0.10374425380345409,378,transformer_baseline
transformer_regime_GOLD_r5d,transformer,regime,GOLD_r5d,0.000473175974584082,0.01630121996456349,0.0217526084547137,0.9799007057169327,0.7343292635721261,0.03979460693545722,378,transformer_regime
transformer_regime_DXY_r10d,transformer,regime,DXY_r10d,0.00018208904273995502,0.010179489477984128,0.013494037303192659,1.000344243257501,0.7546291350619323,-0.0006886050184222725,378,transformer_regime
transformer_regime_DXY_r5d,transformer,regime,DXY_r5d,8.849232185346339e-05,0.006923676381769842,0.009407035763377505,1.0392969870805995,0.7649334162317393,-0.08013822735481146,378,transformer_regime
