model_type,target_col,rmse_norm_baseline,mae_norm_baseline,r2_baseline,rmse_norm_regime,mae_norm_regime,r2_regime,rmse_gain_%,mae_gain_%,ativo,horizonte,regime_scope
lstm,SPX_r15d,0.39903419504837,0.2785498574363664,0.8407717111820994,0.4126248651127566,0.2788693309185297,0.8297407206906794,-3.405891082276596,-0.1146916696004076,SPX,r15d,baseline
lstm,ETH_r10d,0.4026600523219482,0.3052103190818819,0.837864882264086,0.3953976848378315,0.2935506095018229,0.8436606708248828,1.8035977103360843,3.820221287122014,ETH,r10d,baseline
lstm,GOLD_r15d,0.4172200715057046,0.321577079815655,0.8259274119327746,0.4162436869985353,0.3167135519404016,0.8267411930338653,0.2340214610590596,1.5123987934841112,GOLD,r15d,baseline
lstm,DXY_r10d,0.421478630268776,0.330192070483858,0.8223557642267564,0.5403147658363407,0.4322975113472314,0.7080599538192203,-28.195055937185515,-30.92304449157419,DXY,r10d,baseline
gru,BTC_r10d,0.4362600257983504,0.3341012193551995,0.8096771898904227,0.4387626653037426,0.3430065078690554,0.8074873235355559,-0.5736577631224539,-2.6654462773415566,BTC,r10d,baseline
transformer,BTC_r15d,0.4407237027766504,0.3496657943758369,0.8057626178108387,0.4445082994331915,0.3490759001075496,0.8024123717350121,-0.8587231938507802,0.1687023088261288,BTC,r15d,baseline
gru,DXY_r10d,0.4460085820295396,0.3566029372474389,0.8010763447559994,0.4453891229333743,0.352035468686367,0.8016285291726395,0.1388895014859286,1.2808275210314963,DXY,r10d,baseline
lstm,SPX_r10d,0.4534502793684409,0.3024145931428294,0.7943828441406828,0.4863227901243477,0.3464874124395239,0.7634901438056696,-7.249419010545347,-14.573641714399376,SPX,r10d,baseline
lstm,BTC_r10d,0.4574760283370709,0.3426474215850804,0.7907156834969395,0.4478466189223088,0.3495778440847459,0.7994334059198562,2.104899233685561,-2.022610433665463,BTC,r10d,baseline
transformer,BTC_r10d,0.4695316618919096,0.3580975375276654,0.7795400184810215,0.5405833371642489,0.4282738437239294,0.7077696555803641,-15.132456666723352,-19.596980945685065,BTC,r10d,baseline
lstm,GOLD_r10d,0.476770456649839,0.368260464308139,0.7726899316659039,0.4671139353214041,0.3628096916219256,0.7818045714285511,2.0254026216911947,1.4801406109270707,GOLD,r10d,baseline
gru,GOLD_r10d,0.4917997689667975,0.3747039600078949,0.7581329872442045,0.6726705469213841,0.5448289492769524,0.547514335304486,-36.77732064302728,-45.402506358745974,GOLD,r10d,baseline
transformer,SPX_r15d,0.4935386011097338,0.3760329668780439,0.756419649214647,0.6254430048949904,0.4782810111049466,0.608821047627925,-26.726258794887812,-27.191244713409414,SPX,r15d,baseline
gru,SPX_r10d,0.5093297354140406,0.363753677042566,0.7405832206230634,0.4753440250277322,0.3463104321270359,0.7740480578704347,6.6726342530700595,4.795345316465057,SPX,r10d,baseline
transformer,ETH_r10d,0.5151413749150101,0.4148583486142048,0.7346293638506729,0.4335867460405235,0.327547001057263,0.8120025336579906,15.831504291019488,21.04606255330213,ETH,r10d,baseline
gru,ETH_r5d,0.5384480402670265,0.3978724343621754,0.7100737079325985,0.5325509180277038,0.3934063804064741,0.7163895197078498,1.0952072991849335,1.1224838842783365,ETH,r5d,baseline
gru,BTC_r5d,0.5643466852368793,0.4337874806763422,0.6815128188621468,0.5887781081504128,0.4513873186666821,0.6533403393628209,-4.329151486604133,-4.057248946626824,BTC,r5d,baseline
lstm,BTC_r5d,0.5700099669628557,0.4381981412368821,0.6750886375630041,0.6342696496399007,0.4876030751344379,0.5977020115456776,-11.273431413740964,-11.274564916707009,BTC,r5d,baseline
transformer,SPX_r10d,0.5734972936999415,0.4121337964491221,0.671100854118843,0.5979544133169136,0.4475841935941974,0.6424505195948257,-4.264557110494095,-8.601671945011576,SPX,r10d,baseline
lstm,ETH_r5d,0.57631005807478,0.4337676813840994,0.6678667169618437,0.5567813847017066,0.410071226150612,0.6899944896496502,3.3885706312867145,5.46293701685541,ETH,r5d,baseline
lstm,DXY_r5d,0.5786850731501209,0.4500498418333116,0.6651235861132394,0.5811812679332092,0.4559304554078504,0.6622283338035473,-0.4313563454298437,-1.3066582915757976,DXY,r5d,baseline
gru,DXY_r5d,0.5915480271189619,0.4640949615533804,0.650070931611664,0.5892532058780238,0.454330621770428,0.6527806593624714,0.3879348988981863,2.103952982008248,DXY,r5d,baseline
gru,GOLD_r5d,0.5991778506055583,0.4782763619727668,0.6409859033437033,0.6208983429932642,0.4875185700263285,0.6144852476682189,-3.625049284741437,-1.9323990873059045,GOLD,r5d,baseline
lstm,SPX_r5d,0.5996610818193848,0.4114433196132945,0.640406586951205,0.5749315611381066,0.4033890926021955,0.6694537000072995,4.123916230522798,1.9575544497037904,SPX,r5d,baseline
transformer,DXY_r10d,0.6033756344180083,0.4560367565538119,0.635937843790666,1.000344243257501,0.7546291350619323,-0.0006886050184222,-65.79128923931314,-65.47550701055974,DXY,r10d,baseline
gru,SPX_r5d,0.6215060786731582,0.4302321073541226,0.6137301941723141,0.6419830938991399,0.4944886205506781,0.587857707147688,-3.2947409411823716,-14.935313310697689,SPX,r5d,baseline
lstm,GOLD_r5d,0.6244261306105895,0.4802789543857115,0.610092007410687,0.6294237553794364,0.4967243426125904,0.6038257361640474,-0.8003548416463652,-3.4241325955897897,GOLD,r5d,baseline
transformer,SPX_r5d,0.6389684663157282,0.4490194951568549,0.591719299054126,0.6643948051733746,0.4815797677478912,0.5585795428586335,-3.979279134736303,-7.251416239658386,SPX,r5d,baseline
transformer,ETH_r5d,0.6417984258275812,0.4999745901420598,0.5880947806052388,0.6961538204536954,0.5422559309009289,0.515369858267724,-8.469231527955916,-8.456697918759334,ETH,r5d,baseline
transformer,GOLD_r15d,0.6661083980482337,0.5349531243844573,0.5562996020496158,0.4637347483550978,0.3609404233029152,0.784950083168034,30.381489001806845,32.528588608912116,GOLD,r15d,baseline
transformer,GOLD_r5d,0.6695261362538784,0.5302381634967723,0.5517347528729531,0.9799007057169328,0.7343292635721261,0.0397946069354572,-46.35734927386957,-38.49045846293487,GOLD,r5d,baseline
transformer,GOLD_r10d,0.6956863487603722,0.557119669424513,0.5160205041484618,0.5792452473037553,0.4574518476340165,0.6644749434760113,16.737586077993434,17.8898407757619,GOLD,r10d,baseline
transformer,BTC_r5d,0.8039133929225674,0.6586734183434545,0.3537232566797258,0.7015248107862946,0.5424626945216586,0.5078629398512537,12.736270229812533,17.643147663991456,BTC,r5d,baseline
transformer,DXY_r5d,0.9467078462738892,0.752866129986383,0.103744253803454,1.0392969870805997,0.7649334162317393,-0.0801382273548114,-9.780117611904055,-1.6028462119254197,DXY,r5d,baseline
