y_true,y_pred
-0.0021555321,-0.033527214
0.013228194,-0.017570283
-0.003826924,0.015332781
0.030482441,0.0633455
0.046953153,0.02906388
-0.006148079,0.032344706
-0.021723919,0.020322867
0.06973224,0.0077756494
0.005256411,0.0661271
0.04418034,0.051058568
0.011625519,0.035101876
0.068308435,0.02369634
0.047532454,0.08307464
0.09221243,0.06876636
0.065175794,0.10664482
0.00527165,0.09690835
0.024763474,0.015133947
-0.05053072,-0.008627884
-0.03771967,-0.013834152
-0.059727903,-0.051770706
-0.11139318,-0.07485193
-0.16450907,-0.114583194
-0.14086996,-0.14377855
-0.15497315,-0.15826418
-0.10332233,-0.12221581
0.010101572,-0.055146746
-0.004699618,0.028843872
-0.0037514581,0.025519364
0.04301734,0.019801356
0.036970586,0.048587114
0.07674332,0.057184823
0.078156546,0.08934713
0.10059148,0.08953447
0.12611832,0.097640164
0.11997473,0.08983699
0.14330596,0.08252821
0.14676112,0.1494683
0.19645952,0.15208328
0.18710063,0.18898594
0.1888067,0.22837976
0.20347664,0.22449788
0.18497893,0.19980732
0.14639173,0.19275257
0.11321426,0.13219413
0.14533706,0.07958978
0.13336077,0.104996346
0.22838466,0.11009296
0.16621539,0.16891697
0.18415485,0.14531717
0.27003515,0.1677047
0.19906485,0.28829804
0.24312545,0.26000187
0.26579216,0.27514014
0.29735526,0.30281967
0.2797739,0.28248486
0.22488783,0.23073944
0.15635945,0.17558178
0.1541294,0.13148525
0.105725005,0.1076049
-0.011507723,0.09240634
-0.030045472,0.045023195
0.02696568,-0.03856888
-0.021661134,0.0012516677
-0.06849089,-0.024658654
-0.030478884,-0.0943378
-0.02111427,-0.0649448
-0.050918613,0.00022063404
-0.009168962,-0.049365774
0.004289903,0.015584819
-0.03160701,0.09103311
0.063637465,0.015269987
0.0087254755,0.03817392
0.03519852,0.066858836
0.11611271,0.025980346
-0.011787479,0.04025998
0.008537044,-0.0045784637
0.008676706,0.010685265
-0.051469456,-0.0079673305
-0.094353944,-0.0030268207
-0.02530112,-0.038328502
-0.07396445,-0.023859184
-0.075722106,-0.067926124
-0.060681336,-0.07250855
-0.06926597,-0.090569586
-0.040312607,-0.06495567
-0.09365821,-0.06590973
-0.08297914,-0.0648963
-0.052559108,-0.04489233
0.0065203165,-0.0023387596
-0.051036235,0.00662861
-0.05058657,-0.018584773
-0.07161338,-0.05378832
-0.015051317,-0.092572205
-0.05656494,-0.056215648
-0.06328647,-0.061097827
-0.049250156,-0.06009937
-0.02245413,-0.041488603
-0.047581647,-0.0045495033
-0.01482831,-0.022959664
0.014992281,0.020537369
0.1288865,0.03765879
0.09831639,0.12683123
0.06408201,0.08310447
0.12327059,0.08378703
0.11792367,0.13091439
0.12192778,0.152426
0.07454388,0.13035417
0.11974373,0.122840054
0.082285196,0.11044658
0.09338871,0.069951005
0.03116142,0.04424195
0.034056652,0.05363319
0.025806664,0.035627574
-0.012399184,0.030081071
0.013401892,0.022873022
0.02337587,0.040446125
0.02058791,0.028121553
0.014288728,0.031689666
-0.014218332,0.04045537
0.009764431,0.011503391
