y_true,y_pred
-0.0061740573,0.017818354
0.0004905327,0.0018664673
-0.006734311,0.00087630004
0.016706645,0.008573256
0.03092623,0.017094143
0.021148777,0.024975963
0.015883762,0.025695302
0.032542735,0.026066862
0.028016364,0.037595116
0.032091506,0.028133191
0.029867787,0.024607748
-0.0017747864,0.023228593
0.002618926,0.014352597
-0.0022727766,0.0022056326
-0.0118934335,0.0023944676
0.0059786276,-0.0060683265
-0.0064451164,0.0015097633
-0.026850948,-0.006915629
-0.019427601,-0.01581335
-0.026970724,-0.0105550885
-0.026432324,-0.010824032
-0.01894281,-0.016327351
-0.024766427,-0.00961186
-0.008540906,-0.008522131
-0.012564527,-0.004879698
-0.0084571615,-0.005385712
0.0024149364,0.0046386123
0.010798121,0.009414144
0.01536342,0.01922208
0.010764437,0.019155748
-0.010313421,0.012715511
0.0041866824,0.0073869973
0.016147746,0.012952782
0.006714736,0.016231515
-0.0015803012,0.013943277
-0.00079251995,0.013249256
-0.015336619,0.01574009
-0.011787747,0.0044883266
-0.0073650735,0.0022206083
-0.0026314086,0.004532099
0.00113507,0.0073179826
-0.0045389347,0.013441019
-0.0141099915,0.0023957044
-0.007038852,0.0013841242
-0.0037395977,0.0052967817
0.004089002,0.0061276704
-0.0007375538,0.009624921
0.0051459353,0.010573894
0.026560739,0.01574397
0.045600705,0.04240427
0.05555782,0.05323025
0.076016515,0.06992691
0.08089646,0.08291351
0.084485896,0.08738246
0.081590295,0.08765524
0.06348984,0.0897442
0.07297701,0.08201634
0.06854719,0.088473104
0.056594178,0.08117055
0.06313562,0.075010814
0.058389515,0.06414748
0.059622947,0.04992505
0.064685136,0.049009465
0.033548586,0.051450454
0.026606157,0.032275185
0.01954071,0.025543608
0.018568134,0.028340064
0.027153427,0.03402055
0.026229631,0.039100625
0.035336185,0.044872865
0.060177986,0.046902478
0.050815172,0.06408531
0.0725249,0.06601339
0.07774013,0.07421831
0.08121332,0.08639901
0.077302806,0.08796715
0.087320335,0.083963536
0.07662499,0.0881817
0.091888,0.07835292
0.09469133,0.059719093
0.086302444,0.059966676
0.08389091,0.04621861
0.07846651,0.048711874
0.041899864,0.05006223
0.029073441,0.030833319
0.013033633,0.022547938
0.017754763,0.017697759
0.0039052072,0.009872325
0.0058583273,0.00049159676
-0.022482596,0.0035119876
-0.012831019,-0.031136964
-0.023894604,-0.027598172
-0.024575885,-0.03282331
-0.018859606,-0.029406339
-0.032132003,-0.015189562
-0.024802182,-0.01084771
-0.021297237,-0.008534409
-0.013051722,-0.0028488412
0.0016709069,0.010568202
