y_true,y_pred
0.081324875,0.06833826
0.08718567,0.09233316
0.10858104,0.05212311
-0.0052520013,0.04273547
0.036342878,-0.0402912
0.050632797,0.0409907
-0.024426125,0.0075151594
-0.0012283238,-0.013878743
-0.0062303846,0.047291063
0.029972658,0.069717295
0.0035319147,0.014197701
0.0070774434,5.895272e-07
0.055003006,0.04215126
0.15232612,0.048523735
0.18468043,0.19719769
0.13670146,0.15459406
0.14449444,0.10594634
0.08319889,0.114491455
0.10035199,0.100521766
0.045510367,0.055150505
-0.0157739,0.08301209
-0.026427286,0.043086972
-0.053298317,-0.022590578
0.0031379887,0.025694687
-0.00081053027,0.0062029557
0.021117244,-0.03306279
0.0049004364,-0.01323331
-0.026920889,-0.027901728
-0.11403372,-0.09671621
-0.1266311,-0.13342047
-0.09360133,-0.12821335
-0.08694744,-0.08554111
-0.04226067,-0.048004393
-0.019281557,0.0069311345
-0.00079682725,0.012255502
0.14001237,0.09189706
0.16482426,0.20535205
0.21809858,0.20715697
0.24181326,0.23585238
0.21239145,0.24418354
0.26280245,0.19490324
0.23661219,0.24096307
0.26361027,0.2734535
0.23758067,0.2678708
0.32016683,0.27856216
0.34454128,0.3643622
0.35574323,0.29897565
0.32123148,0.34964454
0.35030374,0.33423945
0.37806767,0.3118076
0.29072753,0.32610983
0.36844152,0.30308357
0.3326812,0.2917426
0.32065037,0.31122592
0.37183225,0.31434008
0.27824706,0.3385433
0.2992257,0.33704624
0.26774314,0.31682214
0.24565545,0.30937013
0.10132373,0.24322382
-0.027149202,0.09445928
0.037020437,0.015584738
0.044213053,0.06390959
-0.029953437,0.04177942
-0.010953803,-0.041307926
0.009111837,0.00047879387
-0.087251976,0.015530615
-0.084253356,-0.09979271
-0.104739755,-0.0858397
-0.2157692,-0.11167851
-0.18396674,-0.21850492
-0.18492284,-0.163757
-0.15701525,-0.14447612
-0.010747003,-0.11529048
-0.0036512944,0.08166335
0.11536384,0.11177726
-0.0023210384,0.02689492
-0.07424886,0.029366173
-0.072160974,0.005161152
-0.15187258,-0.1425557
-0.18394847,-0.13357054
-0.13241312,-0.14577442
-0.15194482,-0.11172195
-0.09053213,-0.107505836
-0.01764605,-0.042130675
-0.05322296,-0.006769889
-0.05351764,-0.020136949
-0.058543306,-0.079198994
-0.139099,-0.1099262
-0.15153757,-0.11108262
-0.1766924,-0.16031015
-0.15960057,-0.14766203
-0.043965556,-0.083208166
-0.012611947,0.056192562
-0.025723508,-0.007896545
-0.0037158814,-0.002174287
-0.009835164,-0.02313837
-0.05009778,-0.0025513666
-0.08207889,-0.08229698
-0.11116163,-0.10255072
-0.033271916,-0.11170558
-0.069313504,-0.011790431
-0.011582552,-0.04221451
0.13055523,0.016329214
0.22948512,0.15820408
0.22985198,0.28444514
0.23425014,0.21919893
0.18304203,0.21501786
0.22623286,0.21753715
0.22446647,0.28198165
0.23112279,0.2766483
0.21387842,0.22387384
0.25803542,0.2640874
0.25670123,0.31971017
0.29357818,0.23874372
0.22716178,0.21502104
0.22238684,0.21912733
0.16979375,0.13493517
-0.046230126,0.059047047
-0.06253152,-0.07428537
-0.07439398,-0.060906786
-0.081800334,-0.0671941
-0.059577253,-0.044132687
-0.09744951,-0.05166701
-0.06934309,-0.054096933
-0.06356988,-0.09460678
-0.11538917,-0.08351791
-0.10380444,-0.11197297
-0.12353168,-0.12041013
-0.114904456,-0.12614945
-0.122059524,-0.09152066
-0.06696942,-0.08136918
-0.07072274,-0.028082151
-0.06051215,-0.026927792
-0.17719354,-0.039606914
-0.13911058,-0.16063981
-0.12737843,-0.15385084
-0.12389123,-0.1456992
-0.11658079,-0.10270984
-0.11356487,-0.1304149
-0.0075719333,-0.11025879
0.02745543,0.009474634
-0.0018504763,0.047219153
0.016711235,0.008600171
0.017534157,-0.022768501
0.019602444,0.054567646
0.012034894,0.02235334
-0.023699911,0.0683292
-0.0366465,0.038412225
0.094148725,0.087050356
0.095290355,0.1799867
0.06770515,0.14817369
0.040765606,0.024823993
0.032130763,-0.0013508415
-0.048421662,-0.0043040356
-0.36716112,-0.11981497
-0.33684984,-0.33512047
-0.37176952,-0.3745383
-0.24440181,-0.40142813
-0.2990431,-0.22841251
-0.23333362,-0.27646655
-0.25299484,-0.1941367
-0.2254529,-0.24889319
-0.21118721,-0.12377066
-0.2337209,-0.25457847
-0.23036912,-0.23526849
-0.24232307,-0.25858805
-0.20536888,-0.2241102
-0.1993394,-0.18679227
-0.07709849,-0.071741655
0.10370443,0.16706555
1.0922518e-06,0.15970081
0.07890051,0.06416566
-0.059325047,-0.01278581
-0.028790498,-0.051795702
-0.11824293,-0.12097995
-0.098940395,-0.14010783
-0.11748643,-0.037927456
-0.14468817,-0.033712704
-0.09486917,-0.088220395
-0.09864003,-0.13676043
-0.09503088,-0.113036275
-0.10809801,-0.10032808
