model_type,target_col,rmse_norm_baseline,mae_norm_baseline,r2_baseline,rmse_norm_regime,mae_norm_regime,r2_regime,rmse_gain_%,mae_gain_%
lstm,BTC_r10d,0.45747602833707096,0.34264742158508044,0.7907156834969395,0.4478466189223088,0.34957784408474596,0.7994334059198562,2.104899233685561,-2.022610433665463
transformer,BTC_r10d,0.46953166189190965,0.35809753752766543,0.7795400184810215,0.5405833371642489,0.42827384372392946,0.7077696555803641,-15.132456666723353,-19.596980945685065
lstm,GOLD_r10d,0.476770456649839,0.368260464308139,0.7726899316659039,0.4671139353214041,0.36280969162192567,0.7818045714285511,2.0254026216911947,1.4801406109270707
gru,GOLD_r10d,0.49179976896679756,0.3747039600078949,0.7581329872442045,0.6726705469213841,0.5448289492769524,0.547514335304486,-36.77732064302728,-45.402506358745974
transformer,SPX_r15d,0.49353860110973385,0.37603296687804394,0.756419649214647,0.6254430048949904,0.47828101110494664,0.608821047627925,-26.726258794887812,-27.191244713409414
gru,SPX_r10d,0.5093297354140406,0.36375367704256606,0.7405832206230634,0.4753440250277322,0.34631043212703594,0.7740480578704347,6.6726342530700595,4.795345316465057
transformer,ETH_r10d,0.5151413749150101,0.4148583486142048,0.7346293638506729,0.4335867460405235,0.32754700105726303,0.8120025336579906,15.831504291019487,21.04606255330213
gru,ETH_r5d,0.5384480402670265,0.39787243436217545,0.7100737079325985,0.5325509180277038,0.39340638040647413,0.7163895197078498,1.0952072991849335,1.1224838842783365
gru,BTC_r5d,0.5643466852368793,0.4337874806763422,0.6815128188621468,0.5887781081504128,0.45138731866668214,0.6533403393628209,-4.329151486604133,-4.057248946626824
lstm,BTC_r5d,0.5700099669628557,0.43819814123688217,0.6750886375630041,0.6342696496399007,0.4876030751344379,0.5977020115456776,-11.273431413740965,-11.274564916707007
transformer,SPX_r10d,0.5734972936999415,0.4121337964491221,0.671100854118843,0.5979544133169136,0.4475841935941974,0.6424505195948257,-4.264557110494095,-8.601671945011576
lstm,ETH_r5d,0.57631005807478,0.43376768138409943,0.6678667169618437,0.5567813847017066,0.41007122615061203,0.6899944896496502,3.3885706312867145,5.46293701685541
lstm,DXY_r5d,0.5786850731501209,0.45004984183331165,0.6651235861132394,0.5811812679332092,0.4559304554078504,0.6622283338035473,-0.4313563454298437,-1.3066582915757976
gru,DXY_r5d,0.5915480271189619,0.4640949615533804,0.650070931611664,0.5892532058780238,0.45433062177042804,0.6527806593624714,0.38793489889818633,2.103952982008248
gru,GOLD_r5d,0.5991778506055583,0.47827636197276685,0.6409859033437033,0.6208983429932642,0.4875185700263285,0.6144852476682189,-3.6250492847414364,-1.9323990873059043
lstm,SPX_r5d,0.5996610818193848,0.41144331961329456,0.640406586951205,0.5749315611381066,0.4033890926021955,0.6694537000072995,4.123916230522798,1.9575544497037904
transformer,DXY_r10d,0.6033756344180083,0.45603675655381193,0.635937843790666,1.000344243257501,0.7546291350619323,-0.0006886050184222725,-65.79128923931314,-65.47550701055974
gru,SPX_r5d,0.6215060786731582,0.43023210735412265,0.6137301941723141,0.6419830938991399,0.4944886205506781,0.587857707147688,-3.2947409411823716,-14.935313310697689
lstm,GOLD_r5d,0.6244261306105895,0.4802789543857115,0.610092007410687,0.6294237553794364,0.49672434261259046,0.6038257361640474,-0.8003548416463652,-3.4241325955897897
transformer,SPX_r5d,0.6389684663157282,0.4490194951568549,0.591719299054126,0.6643948051733746,0.4815797677478912,0.5585795428586335,-3.979279134736303,-7.251416239658386
transformer,ETH_r5d,0.6417984258275812,0.49997459014205986,0.5880947806052388,0.6961538204536954,0.5422559309009289,0.515369858267724,-8.469231527955916,-8.456697918759334
transformer,GOLD_r15d,0.6661083980482337,0.5349531243844573,0.5562996020496158,0.46373474835509787,0.36094042330291526,0.784950083168034,30.381489001806845,32.528588608912116
transformer,GOLD_r5d,0.6695261362538784,0.5302381634967723,0.5517347528729531,0.9799007057169327,0.7343292635721261,0.03979460693545722,-46.35734927386957,-38.49045846293487
transformer,GOLD_r10d,0.6956863487603722,0.557119669424513,0.5160205041484618,0.5792452473037553,0.45745184763401653,0.6644749434760113,16.737586077993434,17.8898407757619
transformer,BTC_r5d,0.8039133929225674,0.6586734183434545,0.3537232566797258,0.7015248107862946,0.5424626945216586,0.5078629398512537,12.736270229812531,17.643147663991456
transformer,DXY_r5d,0.9467078462738893,0.752866129986383,0.10374425380345409,1.0392969870805995,0.7649334162317393,-0.08013822735481146,-9.780117611904055,-1.6028462119254197
