model_type,rmse_norm,mae_norm,r2,n_experimentos
lstm,0.4765435931885566,0.3588064694538188,0.7642070079752857,30
gru,0.48513742234023743,0.3699094725414022,0.7528757252256744,30
transformer,0.6190597794587442,0.4757344134209597,0.5837129006033678,30
